clearVal,sn,districtName,dataDate,issueVal,issueTime,clearDate,issueDate,moveName,clearTime,issueGbn,itemCode
30,27,강원,2022-01-09,83,11:00,2022-01-11,2022-01-09,영서북부,5:00,주의보,PM25
33,28,강원,2022-01-09,75,13:00,2022-01-11,2022-01-09,영서남부,5:00,주의보,PM25
25,89,강원,2022-02-12,76,11:00,2022-02-12,2022-02-12,영서북부,15:00,주의보,PM25
30,96,강원,2022-02-25,82,20:00,2022-02-26,2022-02-25,영서북부,21:00,주의보,PM25
26,115,강원,2022-02-25,80,23:00,2022-02-26,2022-02-25,영동북부,23:00,주의보,PM25
80,185,강원,2022-03-04,222,23:00,2022-03-05,2022-03-04,영동북부,5:00,주의보,PM10
88,213,강원,2022-03-05,200,10:00,2022-03-05,2022-03-05,영서남부,14:00,주의보,PM10
75,218,강원,2022-03-05,151,11:00,2022-03-05,2022-03-05,영동북부,14:00,주의보,PM10
96,187,강원,2022-03-05,178,3:00,2022-03-05,2022-03-05,영서남부,7:00,주의보,PM10
88,206,강원,2022-03-05,202,9:00,2022-03-05,2022-03-05,영서북부,12:00,주의보,PM10
97,186,강원,2022-03-04,278,0:00,2022-03-05,2022-03-05,영동남부,6:00,주의보,PM10
93,184,강원,2022-03-04,153,0:00,2022-03-05,2022-03-05,영서북부,5:00,주의보,PM10
7,219,강원,2022-03-06,75,1:00,2022-03-06,2022-03-06,영동남부,4:00,주의보,PM25
96,220,강원,2022-03-07,162,13:00,2022-03-07,2022-03-07,영동남부,15:00,주의보,PM10
19,221,강원,2022-03-07,117,13:00,2022-03-08,2022-03-07,영동남부,6:00,주의보,PM25
16,232,강원,2022-04-11,137,11:00,2022-04-11,2022-04-11,영서북부,14:00,주의보,PM25
93,255,강원,2022-04-27,201,11:00,2022-04-27,2022-04-27,영동북부,13:00,주의보,PM10
83,261,강원,2022-04-27,170,12:00,2022-04-27,2022-04-27,영동남부,17:00,주의보,PM10
99,364,강원,2022-12-13,145,18:00,2022-12-13,2022-12-13,영서북부,19:00,주의보,PM10
355,306,강원,2022-12-13,205,7:00,2022-12-13,2022-12-13,영서북부,12:00,주의보,PM10
124,328,강원,2022-12-13,320,13:00,2022-12-13,2022-12-13,영동북부,19:00,경보,PM10
91,309,강원,2022-12-13,190,8:00,2022-12-13,2022-12-13,영서남부,18:00,주의보,PM10
75,366,강원,2022-12-13,124,19:00,2022-12-13,2022-12-13,영동북부,20:00,주의보,PM10
67,327,강원,2022-12-13,174,13:00,2022-12-13,2022-12-13,영동남부,20:00,주의보,PM10
320,307,강원,2022-12-13,173,7:00,2022-12-13,2022-12-13,영동북부,13:00,주의보,PM10
145,322,강원,2022-12-13,355,12:00,2022-12-13,2022-12-13,영서북부,18:00,경보,PM10
30,2,경기,2022-01-08,81,22:00,2022-01-11,2022-01-08,북부권,3:00,주의보,PM25
32,24,경기,2022-01-09,84,1:00,2022-01-10,2022-01-09,중부권,22:00,주의보,PM25
31,26,경기,2022-01-09,84,5:00,2022-01-11,2022-01-09,남부권,5:00,주의보,PM25
33,25,경기,2022-01-09,80,2:00,2022-01-10,2022-01-09,동부권,22:00,주의보,PM25
77,63,경기,2022-01-10,152,12:00,2022-01-10,2022-01-10,남부권,21:00,주의보,PM10
31,72,경기,2022-02-11,81,12:00,2022-02-13,2022-02-11,남부권,17:00,주의보,PM25
34,70,경기,2022-02-11,75,12:00,2022-02-12,2022-02-11,북부권,16:00,주의보,PM25
33,71,경기,2022-02-11,81,12:00,2022-02-14,2022-02-11,중부권,2:00,주의보,PM25
34,80,경기,2022-02-12,75,4:00,2022-02-13,2022-02-12,동부권,15:00,주의보,PM25
34,98,경기,2022-02-25,77,20:00,2022-02-26,2022-02-25,남부권,15:00,주의보,PM25
33,97,경기,2022-02-25,76,20:00,2022-02-26,2022-02-25,동부권,16:00,주의보,PM25
84,133,경기,2022-03-04,158,16:00,2022-03-05,2022-03-04,남부권,13:00,주의보,PM10
84,138,경기,2022-03-05,169,1:00,2022-03-05,2022-03-05,동부권,13:00,주의보,PM10
98,139,경기,2022-03-05,166,1:00,2022-03-05,2022-03-05,중부권,12:00,주의보,PM10
95,188,경기,2022-03-05,287,7:00,2022-03-05,2022-03-05,북부권,12:00,주의보,PM10
32,144,경기,2022-03-05,75,2:00,2022-03-05,2022-03-05,동부권,4:00,주의보,PM25
31,223,경기,2022-03-10,80,9:00,2022-03-10,2022-03-10,남부권,14:00,주의보,PM25
30,229,경기,2022-03-12,77,10:00,2022-03-12,2022-03-12,중부권,17:00,주의보,PM25
28,227,경기,2022-03-12,86,9:00,2022-03-12,2022-03-12,남부권,17:00,주의보,PM25
96,251,경기,2022-04-27,167,8:00,2022-04-28,2022-04-27,동부권,0:00,주의보,PM10
95,237,경기,2022-04-27,176,5:00,2022-04-27,2022-04-27,북부권,22:00,주의보,PM10
95,238,경기,2022-04-27,183,5:00,2022-04-27,2022-04-27,중부권,22:00,주의보,PM10
96,252,경기,2022-04-27,183,9:00,2022-04-28,2022-04-27,남부권,2:00,주의보,PM10
34,280,경기,2022-11-09,77,13:00,2022-11-11,2022-11-09,남부권,15:00,주의보,PM25
32,288,경기,2022-11-10,76,11:00,2022-11-11,2022-11-10,중부권,11:00,주의보,PM25
33,282,경기,2022-11-09,77,0:00,2022-11-11,2022-11-10,북부권,12:00,주의보,PM25
136,308,경기,2022-12-13,311,6:00,2022-12-13,2022-12-13,중부권,16:00,경보,PM10
396,299,경기,2022-12-13,238,4:00,2022-12-13,2022-12-13,북부권,12:00,주의보,PM10
371,302,경기,2022-12-13,253,5:00,2022-12-13,2022-12-13,동부권,12:00,주의보,PM10
131,323,경기,2022-12-13,371,12:00,2022-12-13,2022-12-13,동부권,17:00,경보,PM10
123,324,경기,2022-12-13,396,12:00,2022-12-13,2022-12-13,북부권,17:00,경보,PM10
69,304,경기,2022-12-13,178,6:00,2022-12-13,2022-12-13,남부권,18:00,주의보,PM10
93,348,경기,2022-12-13,136,16:00,2022-12-13,2022-12-13,중부권,17:00,주의보,PM10
94,353,경기,2022-12-13,131,17:00,2022-12-13,2022-12-13,동부권,18:00,주의보,PM10
311,298,경기,2022-12-13,241,3:00,2022-12-13,2022-12-13,중부권,6:00,주의보,PM10
89,352,경기,2022-12-13,123,17:00,2022-12-13,2022-12-13,북부권,18:00,주의보,PM10
26,68,경남,2022-01-10,86,13:00,2022-01-11,2022-01-10,거제권역,6:00,주의보,PM25
31,56,경남,2022-01-10,77,11:00,2022-01-11,2022-01-10,김해권역,8:00,주의보,PM25
30,57,경남,2022-01-10,80,11:00,2022-01-11,2022-01-10,함안권역,7:00,주의보,PM25
33,49,경남,2022-01-10,85,9:00,2022-01-11,2022-01-10,고성권역,4:00,주의보,PM25
30,58,경남,2022-01-10,84,11:00,2022-01-11,2022-01-10,거창권역,3:00,주의보,PM25
34,59,경남,2022-01-10,79,11:00,2022-01-11,2022-01-10,창녕권역,6:00,주의보,PM25
30,55,경남,2022-01-10,79,11:00,2022-01-11,2022-01-10,진주권역,5:00,주의보,PM25
21,119,경남,2022-02-26,81,22:00,2022-02-26,2022-02-25,거창권역,13:00,주의보,PM25
33,128,경남,2022-02-26,95,10:00,2022-02-26,2022-02-26,함안권역,14:00,주의보,PM25
31,127,경남,2022-02-26,79,10:00,2022-02-26,2022-02-26,김해권역,16:00,주의보,PM25
29,125,경남,2022-02-26,81,9:00,2022-02-26,2022-02-26,고성권역,16:00,주의보,PM25
31,126,경남,2022-02-26,75,10:00,2022-02-26,2022-02-26,사천권역,15:00,주의보,PM25
31,131,경남,2022-03-04,76,11:00,2022-03-04,2022-03-04,고성권역,18:00,주의보,PM25
89,193,경남,2022-03-05,150,7:00,2022-03-05,2022-03-05,합천권역,10:00,주의보,PM10
91,192,경남,2022-03-05,204,7:00,2022-03-05,2022-03-05,함안권역,11:00,주의보,PM10
88,202,경남,2022-03-05,196,8:00,2022-03-05,2022-03-05,거제권역,13:00,주의보,PM10
90,203,경남,2022-03-05,164,8:00,2022-03-05,2022-03-05,하동권역,12:00,주의보,PM10
81,156,경남,2022-03-05,216,4:00,2022-03-05,2022-03-05,거창권역,10:00,주의보,PM10
84,189,경남,2022-03-05,173,7:00,2022-03-05,2022-03-05,밀양권역,12:00,주의보,PM10
82,145,경남,2022-03-05,183,2:00,2022-03-05,2022-03-05,산청권역,13:00,주의보,PM10
89,201,경남,2022-03-05,183,8:00,2022-03-05,2022-03-05,사천권역,12:00,주의보,PM10
94,204,경남,2022-03-05,235,8:00,2022-03-05,2022-03-05,통영권역,12:00,주의보,PM10
88,207,경남,2022-03-05,153,9:00,2022-03-05,2022-03-05,김해권역,12:00,주의보,PM10
87,190,경남,2022-03-05,246,7:00,2022-03-05,2022-03-05,남해권역,13:00,주의보,PM10
98,165,경남,2022-03-05,277,5:00,2022-03-05,2022-03-05,함양권역,14:00,주의보,PM10
87,191,경남,2022-03-05,201,7:00,2022-03-05,2022-03-05,고성권역,13:00,주의보,PM10
95,208,경남,2022-03-05,152,9:00,2022-03-05,2022-03-05,양산권역,12:00,주의보,PM10
36,272,경남,2022-06-01,271,11:00,2022-06-01,2022-06-01,밀양권역,14:00,주의보,PM10
13,276,경남,2022-06-01,69,13:00,2022-06-01,2022-06-01,밀양권역,14:00,주의보,PM25
69,273,경남,2022-06-01,219,11:00,2022-06-01,2022-06-01,밀양권역,13:00,경보,PM25
27,284,경남,2022-11-10,113,9:00,2022-11-10,2022-11-10,거창권역,12:00,주의보,PM25
